id,value,region
Acre,724,Norte
Alagoas,3254,Nordeste
Amazonas,3679,Norte
Amapá,752,Norte
Bahia,14677,Nordeste
Ceará,8736,Nordeste
Distrito Federal,2898,Centro-Oeste
Espírito Santo,3858,Sudeste
Goias,6426,Centro-Oeste
Maranhão,6644,Nordeste
Minas Gerais,20548,Sudeste
Mato Grosso do Sul,2569,Centro-Oeste
Mato Grosso,3099,Centro-Oeste
Pará,7713,Norte
Paraíba,3906,Nordeste
Pernambuco,9183,Nordeste
Piauí,3051,Nordeste
Paraná,10898,Sul
Rio de Janeiro,16428,Sudeste
Rio Grande do Norte,3375,Nordeste
Rondônia,1690,Norte
Roraima,475,Norte
Rio Grande do Sul,11121,Sul
Santa Catarina,6713,Sul
Sergipe,2204,Nordeste
São Paulo,43819,Sudeste
Tocantins,1422,Norte
